,address,categories,city,country,latitude,longitude,menus max amount,menus min amount,menus name,postal code,postalCode,province
120,401 E Whitestone Blvd,Pizza Place,Cedar Park,US,30.52266137,-97.82690265,5.99,5.99,Cheese Pizza,Doubledave's Pizzaworks,78613,TX
121,401 E Whitestone Blvd,Pizza Place,Cedar Park,US,30.52266137,-97.82690265,3.99,3.99,Chocolate Chip Pizza,Doubledave's Pizzaworks,78613,TX
122,2631 Mcingvale Rd,"Food and Beverage,Restaurant",Hernando,US,34.822393,-89.973027,7.0,7.0,Byo Pizza,Buon Cibo,38632,MS
123,2631 Mcingvale Rd,"Food and Beverage,Restaurant",Hernando,US,34.822393,-89.973027,4.75,4.75,Cheese Pizza,Buon Cibo,38632,MS
124,2631 Mcingvale Rd,"Food and Beverage,Restaurant",Hernando,US,34.822393,-89.973027,4.75,4.75,Pepperoni Pizza,Buon Cibo,38632,MS
125,1876 Black Rock Tpke,"Pizza Place,Italian Restaurants,Pizza,Mediterranean Restaurants,Restaurants",Fairfield,US,41.18031,-73.247734,7.99,7.99,Cheese Pizza,Tomato & Basil,6825,CT
126,1876 Black Rock Tpke,"Pizza Place,Italian Restaurants,Pizza,Mediterranean Restaurants,Restaurants",Fairfield,US,41.18031,-73.247734,10.99,10.99,Rollatini Pizza,Tomato & Basil,6825,CT
127,1310 N W 23rd Ave,"Video Rental & Sales,Video Games,DVD Sales & Service",Gainesville,US,29.673972999999997,-82.33917,4.25,4.25,Pizza Sub,Blockbuster,32605,FL
129,901 Loveland Madeira Rd,Pizza Place,Loveland,US,39.26125063,-84.27099229999999,4.39,4.39,Kids Size Pizza,Larosa's Pizzeria,45140,Murdock
135,14004 E Indiana Ave,"Pizza Place,Restaurant,American Restaurant",Spokane,US,47.675464,-117.225497,10.75,10.75,Eggscellent Pizza (white),Boston's Restaurant & Sports Bar,99216,City Of Spokane Valley
